,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech,min_size,lifetime,raised_month,k_raised,m_raised,b_raised,latitude,longitude,address
2037,2016-10-01,startup,https://angel.co/salestack,amsterdam,sales automation,salestack,data driven sales acceleration which brings you to a new era in lead discovery.,,1-10,,salestack.io,machine learning,startup,python,1,29,,,,,52.3745403,4.89797550561798,
2038,2017-01-01,startup,https://angel.co/greywire,stanford,innovation management,greywire,surfacing and accelerating bottoms up innovation at the employee level,,1-10,,greywire.co,machine learning,startup,python,1,26,,,,,37.4248398,-122.1677058,
2039,2012-05-01,startup,https://angel.co/discovix,los angeles,application platforms,discovix,the evolution of content discovery,,-,,discovix.com,machine learning,startup,python,,82,,,,,34.0536834,-118.2427669,
2040,2013-07-01,startup,https://angel.co/viblio,palo alto,machine learning,viblio,automated tagging of user generated videos using machine learning and computer vision,100000.0,1-10,,viblio.com,machine learning,startup,python,1,68,1470.5882352941176,100.0,0.1,0.0001,37.4455862,-122.1619289,
2041,2017-07-01,startup,https://angel.co/eyestyle,new york city,visual search,eyestyle,visual discovery for everything fashion,,1-10,,eyestyle.io,machine learning,startup,python,1,20,,,,,40.7308619,-73.9871558,
2042,2014-02-01,startup,https://angel.co/aspirie,mountain view,personalization,aspirie,dont miss out on the news and updates you care about.,,1-10,,aspirie.com,machine learning,startup,python,1,61,,,,,37.3893889,-122.0832101,
2043,2013-10-01,startup,https://angel.co/whichit,london,big data analytics,whichit,interactive commercial content,,1-10,,home.getwhichit.com,machine learning,startup,python,1,65,,,,,51.5073219,-0.1276474,
2044,2014-02-01,startup,https://angel.co/posyt,new york city,chat,posyt,tinder for ideas,,1-10,,posyt.com,machine learning,startup,python,1,61,,,,,40.7308619,-73.9871558,
2045,2015-02-01,startup,https://angel.co/paperjet,palo alto,diy,paperjet,the simplest way to fill out forms online,,1-10,,paperjet.com,machine learning,startup,python,1,49,,,,,37.4455862,-122.1619289,
2046,2015-03-01,startup,https://angel.co/qelzal,san diego,b2b,qelzal,intelligent aircraft and obstacle avoidance system for commercial drones,,1-10,,qelzal.com,machine learning,startup,python,1,48,,,,,32.7174209,-117.1627714,
2047,2015-05-01,startup,https://angel.co/fluentai,montreal,speech recognition,fluent.ai,speech understanding,,1-10,,fluent.ai,machine learning,startup,python,1,46,,,,,45.4972159,-73.6103642,
2048,2015-12-01,startup,https://angel.co/hypertv-1,new york city,digital entertainment,hypertv,personalized storytelling cloud for marketing and advertisement.,,11-50,,hypertvx.com,machine learning,startup,python,11,39,,,,,40.7308619,-73.9871558,
2049,2016-03-01,startup,https://angel.co/eyeware,lisbon,robotics,eyeware,3d eye tracking software for depth sensing cameras,,1-10,,eyeware.tech,machine learning,startup,python,1,36,,,,,38.7077507,-9.1365919,
2050,2016-05-01,startup,https://angel.co/sage-senses,waterloo,consumer electronics,sage senses,"iot embedded machine learning software; 1,000x acceleration",,1-10,,Stealth,machine learning,startup,python,1,34,,,,,43.466874,-80.524635,
2051,2016-08-01,startup,https://angel.co/seedly,singapore,finance technology,seedly,personal finance assistant,,,,seedly.sg,machine learning,startup,python,0,31,,,,,1.2904753,103.8520359,
2052,2016-08-01,startup,https://angel.co/wellsheet,newark,digital health,wellsheet,contextualized data delivery for clinicians,,1-10,,wellsheet.com,machine learning,startup,python,1,31,,,,,40.735657,-74.1723667,
2053,2016-10-01,startup,https://angel.co/lightningai,san francisco,facebook applications,lightning ai,"find your target audience, automatically.",,1-10,,lightningAI.com,machine learning,startup,python,1,29,,,,,37.7792808,-122.4192363,
2054,2016-10-01,startup,https://angel.co/medviv,boston,computer vision,medviv,your personalized healthcare at the tap of a finger!,,1-10,,medviv.io,machine learning,startup,python,1,29,,,,,42.3602534,-71.0582912,
2055,2013-08-01,startup,https://angel.co/zendrive,san francisco,insurance companies,zendrive,making roads safer with data and analytics.,15000000.0,51-200,,zendrive.com,data science,startup,python,51,67,223880.59701492538,15000.0,15.0,0.015,37.7792808,-122.4192363,
2056,2013-04-01,startup,https://angel.co/clip,san francisco,film,clip,"the ""actual reality"" company, creating immersive experiences from real world events.",,1-10,,goclip.com,data science,startup,python,1,71,,,,,37.7792808,-122.4192363,
2057,2012-01-01,startup,https://angel.co/roobiq,san francisco,sales automation,roobiq,mobile first sales productivity platform,,1-10,,Roobiq.com,data science,startup,python,1,86,,,,,37.7792808,-122.4192363,
2058,2013-02-01,startup,https://angel.co/instagis,san francisco,governments,civic brain,big data software for leaders (500 startups 13),,11-50,,instagis.com,data science,startup,python,11,73,,,,,37.7792808,-122.4192363,
2059,2011-11-01,startup,https://angel.co/sanguine,los angeles,biotechnology,sanguine,accelerating personalized medicine r&d via social and big data; biological/clinical data,,11-50,,sanguinebio.com,data science,startup,python,11,88,,,,,34.0536834,-118.2427669,
